사번,작업일,쿼리(일부)
O1205727,30-MAR-17,"select 'x' from dual"
O1205727,30-MAR-17,"select * from cud.cuitem
where 1=1
and isue_org_cno = 'C3354'"
O1205727,30-MAR-17,"select * from cud.cuitem
where 1=1
and stnd_Item_c = 'KRZ502069624'"
O1205727,30-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,30-MAR-17,"select * from cud.cuitem
where 1=1
and stnd_Item_c = 'KRZ502069624'"
O1205727,30-MAR-17,"select * from cud.cuitem
where 1=1
and stnd_Item_c = 'KRZ502069624'"
O1205727,30-MAR-17,"Select username from sys.ALL_USERS order by username"
O1205727,30-MAR-17,"SELECT 1
FROM   SYS.OBJ$ O, SYS.USER$ U
WHERE  0=1"
O1205727,30-MAR-17,"select sys_context('USERENV','INSTANCE_NAME') as INSTANCE_NAME,
sys_conte"
O1205727,30-MAR-17,"BEGIN   :RetVal := DBMS_UTILITY.CURRENT_INSTANCE; END;"
O1205727,30-MAR-17,"BEGIN   IF DBMS_UTILITY.IS_CLUSTER_DATABASE THEN     :RetVal := 1;   ELSE     :R"
O1205727,30-MAR-17,"Select feature from toad.toad_restrictions where user_name=USER or user_name in"
O1205727,30-MAR-17,"BEGIN
if ((QU_VERSION.major_number >= '1') and (QU_VERSION.minor_number >="
O1205727,30-MAR-17,"Select 1 FROM ALL_OBJECTS WHERE object_type = 'PACKAGE' AND object_name = 'TOAD_"
O1205727,30-MAR-17,"Select object_name
from sys.ALL_OBJECTS
where owner = 'SYS'
and   object_type ="
O1205727,30-MAR-17,"begin sys.dbms_application_info.set_module('TOAD 9.6.1.1', null); end;"
O1205727,30-MAR-17,"select /*+ RULE */ TABLE_NAME from all_tab_privs where table_name like 'DBA_%' a"
O1205727,30-MAR-17,"begin :id := sys.dbms_transaction.local_transaction_id; end;"
O1205727,30-MAR-17,"select sid from V$SESSION where audsid = USERENV('SESSIONID')"
O1205727,30-MAR-17,"Select role
from session_roles
where role in ('DBA','SELECT_CATALOG_ROLE')"
O1205727,30-MAR-17,"Select Privilege
from session_privs
where privilege in ('DEBUG CONNECT SESSION',"
O1205727,30-MAR-17,"SELECT version, sysdate FROM sys.PRODUCT_COMPONENT_VERSION WHERE UPPER(PRODUCT)"
O1205727,30-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,30-MAR-17,"select * from tams.ibmccoc"
O1205727,30-MAR-17,"select object_name nam, Decode(object_type, 'TABLE', 1, 'VIEW', 2, 3) typ
from"
O1205727,30-MAR-17,"begin sys.dbms_application_info.set_module('TOAD background query session', null"
O1205727,30-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,30-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,30-MAR-17,"-- KRA000642173        동아쏘시오홀딩스2WR
SELECT GIJUNDT, trunc(sum(danga)/coun"
O1205727,30-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,30-MAR-17,"SELECT  table_name, table_owner FROM  ALL_SYNONYMS WHERE owner = 'PUBLIC' AND sy"
O1205727,29-MAR-17,"select 'x' from dual"
O1205727,29-MAR-17,"select * from cud.cufcdm
ORDER BY 1 DESC NULLS LAST"
O1205727,29-MAR-17,"select * from cud.cufcdm"
O1205727,29-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,29-MAR-17,"select * from cud.cufcdm"
O1205727,29-MAR-17,"Select DISTINCT username FROM SYS.ALL_USERS ORDER BY 1"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"Select username from sys.ALL_USERS order by username"
O1205727,29-MAR-17,"SELECT 1
FROM   SYS.OBJ$ O, SYS.USER$ U
WHERE  0=1"
O1205727,29-MAR-17,"select sys_context('USERENV','INSTANCE_NAME') as INSTANCE_NAME,
sys_conte"
O1205727,29-MAR-17,"BEGIN   :RetVal := DBMS_UTILITY.CURRENT_INSTANCE; END;"
O1205727,29-MAR-17,"BEGIN   IF DBMS_UTILITY.IS_CLUSTER_DATABASE THEN     :RetVal := 1;   ELSE     :R"
O1205727,29-MAR-17,"Select feature from toad.toad_restrictions where user_name=USER or user_name in"
O1205727,29-MAR-17,"BEGIN
if ((QU_VERSION.major_number >= '1') and (QU_VERSION.minor_number >="
O1205727,29-MAR-17,"Select 1 FROM ALL_OBJECTS WHERE object_type = 'PACKAGE' AND object_name = 'TOAD_"
O1205727,29-MAR-17,"Select object_name
from sys.ALL_OBJECTS
where owner = 'SYS'
and   object_type ="
O1205727,29-MAR-17,"begin sys.dbms_application_info.set_module('TOAD 9.6.1.1', null); end;"
O1205727,29-MAR-17,"select /*+ RULE */ TABLE_NAME from all_tab_privs where table_name like 'DBA_%' a"
O1205727,29-MAR-17,"begin :id := sys.dbms_transaction.local_transaction_id; end;"
O1205727,29-MAR-17,"select sid from V$SESSION where audsid = USERENV('SESSIONID')"
O1205727,29-MAR-17,"Select role
from session_roles
where role in ('DBA','SELECT_CATALOG_ROLE')"
O1205727,29-MAR-17,"Select Privilege
from session_privs
where privilege in ('DEBUG CONNECT SESSION',"
O1205727,29-MAR-17,"SELECT version, sysdate FROM sys.PRODUCT_COMPONENT_VERSION WHERE UPPER(PRODUCT)"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"select * from cud.CUNAEX"
O1205727,29-MAR-17,"--펩트론 (주식)   단가산출 모두 끝난후 4108에서 해당종목 등록분 조회후 단가입력"
O1205727,29-MAR-17,"--펩트론 (주식)   단가산출 모두 끝난후 4108에서 해당종목 등록분 조회후 단가입력"
O1205727,29-MAR-17,"--펩트론 (주식)   단가산출 모두 끝난후 4108에서 해당종목 등록분 조회후 단가입력"
O1205727,29-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170328'"
O1205727,29-MAR-17,"--20161223 KR7242350007 피엔아이시스템.(주식)  기존에 취득가로 평가 >  단가 안받"
O1205727,29-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,29-MAR-17,"-- KRA000642173        동아쏘시오홀딩스2WR
SELECT GIJUNDT, trunc(sum(danga)/coun"
O1205727,29-MAR-17,"--20161223 KR7242350007 피엔아이시스템.(주식)  기존에 취득가로 평가 >  단가 안받"
O1205727,29-MAR-17,"SELECT A.BASE_DATE, A.STND_ITEM_C, B.ITEM_NM, A.ESTM_UPR, A.LAST_CHNG_MN_USID, A"
O1205727,29-MAR-17,"select GIJUNDT, SUM(DANGA) / 2  as DANGA
FROM TAMS.TATBLO81 A WHERE A.GIJUNDT >"
O1205727,29-MAR-17,"SELECT A.BASE_DATE, A.STND_ITEM_C, B.ITEM_NM, A.ESTM_UPR, A.LAST_CHNG_MN_USID, A"
O1205727,29-MAR-17,"-- CP종목 수기입력 2개
select jongname,pgd ,gijundt, cnt
from (
select
'1' as"
O1205727,29-MAR-17,"select GIJUNDT, SUM(DANGA) / 2  as DANGA
FROM TAMS.TATBLO81 A WHERE A.GIJUNDT >"
O1205727,29-MAR-17,"select GIJUNDT, SUM(DANGA) / 2  as DANGA
FROM TAMS.TATBLO81 A
WHERE A.GIJUNDT >"
O1205727,29-MAR-17,"select object_name nam, Decode(object_type, 'TABLE', 1, 'VIEW', 2, 3) typ
from"
O1205727,29-MAR-17,"begin sys.dbms_application_info.set_module('TOAD background query session', null"
O1205727,29-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,29-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,29-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,29-MAR-17,"SELECT  table_name, table_owner FROM  ALL_SYNONYMS WHERE owner = 'PUBLIC' AND sy"
O1205727,29-MAR-17,"-- CP종목 수기입력 2개
select jongname,pgd ,gijundt, cnt
from (
select
'1' as"
O1205727,29-MAR-17,"select GIJUNDT, SUM(DANGA) / 2  as DANGA
FROM TAMS.TATBLO81 A
WHERE A.GIJUNDT >"
O1205727,29-MAR-17,"select GIJUNDT, SUM(DANGA) / 2  as DANGA
FROM TAMS.TATBLO81 A WHERE A.GIJUNDT >"
O1205727,29-MAR-17,"select * from cud.CUNAEX
where 1=1
and base_date = '20170327'"
O1205727,28-MAR-17,"select 'x' from dual"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
*
FROM CUD.CUB"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
*
FROM CUD.CUB"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
*
FROM CUD.CUB"
O1205727,28-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
*
FROM CUD.CUB"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
UNY_C
,FUND_C"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
UNY_C
,FUND_C"
O1205727,28-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
UNY_C
,FUND_C"
O1205727,28-MAR-17,"--insert into cud.cubase
SELECT /*+ INDEX(CUBASE IE5_CUBASE) */
UNY_C
,FUND_C"
O1205727,28-MAR-17,"select * from cud.CUKRIS"
O1205727,28-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,28-MAR-17,"select * from cud.CUKRIS"
O1205727,28-MAR-17,"select * from cud.CUKRIS"
O1205727,28-MAR-17,"select * from cud.CUKRIS
where base_date = '20170327'"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
--                     NVL(count(*),0)
DU"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
--                     NVL(count(*),0)
CA"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"NVL(count(*),0)
FROM CUD.CUCDTM
WHERE NVL(RTRIM(BASE_DAT"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
--                     NVL(count(*),0)
*"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"Select  TEXT
from SYS.ALL_SOURCE
where OWNER=:owner
and NAME=:name
and TYPE="
O1205727,28-MAR-17,"SELECT last_ddl_time FROM ALL_OBJECTS   WHERE object_type = :ObjType AND   owner"
O1205727,28-MAR-17,"Select  TEXT
from SYS.ALL_SOURCE
where OWNER=:owner
and NAME=:name
and TYPE="
O1205727,28-MAR-17,"SELECT last_ddl_time FROM ALL_OBJECTS   WHERE object_type = :ObjType AND   owner"
O1205727,28-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
--                     NVL(count(*),0)
CA"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"Select object_name ObjectName, object_type ObjectType
from sys.user_objects
wher"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,28-MAR-17,"Select dropped
from ALL_ALL_TABLES
where owner =:o
and table_name =:n
========="
O1205727,28-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,28-MAR-17,"Select a1.constraint_name,
c1.column_name, c1.position
from
sys.ALL_CONS_COL"
O1205727,28-MAR-17,"select column_name, encryption_alg, salt
from sys.ALL_ENCRYPTED_COLUMNS
where ow"
O1205727,28-MAR-17,"Select cols.column_id, cols.column_name as Name, nullable,
data_type as Type,"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"Select owner, object_type
from sys.ALL_OBJECTS
where object_name = :ObjName
and"
O1205727,28-MAR-17,"Select table_owner, table_name, db_link
from sys.all_synonyms
where synonym_name"
O1205727,28-MAR-17,"Select table_owner, table_name, db_link
from sys.user_synonyms
where synonym_nam"
O1205727,28-MAR-17,"Select table_owner, table_name, db_link
from sys.all_synonyms
where synonym_name"
O1205727,28-MAR-17,"Select object_name ObjectName, object_type ObjectType
from sys.user_objects
wher"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"Select dropped
from ALL_ALL_TABLES
where owner =:o
and table_name =:n
========="
O1205727,28-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,28-MAR-17,"Select a1.constraint_name,
c1.column_name, c1.position
from
sys.ALL_CONS_COL"
O1205727,28-MAR-17,"SELECT 1
FROM   SYS.CDEF$ C, SYS.CON$ CN, SYS.OBJ$ O, SYS.USER$ U
WHERE  0=1"
O1205727,28-MAR-17,"select column_name, encryption_alg, salt
from sys.ALL_ENCRYPTED_COLUMNS
where ow"
O1205727,28-MAR-17,"Select cols.column_id, cols.column_name as Name, nullable,
data_type as Type,"
O1205727,28-MAR-17,"Select owner, object_type
from sys.ALL_OBJECTS
where object_name = :ObjName
and"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)"
O1205727,28-MAR-17,"Select table_owner, table_name, db_link
from sys.all_synonyms
where synonym_name"
O1205727,28-MAR-17,"Select table_owner, table_name, db_link
from sys.user_synonyms
where synonym_nam"
O1205727,28-MAR-17,"Select table_owner, table_name, db_link
from sys.all_synonyms
where synonym_name"
O1205727,28-MAR-17,"Select object_name ObjectName, object_type ObjectType
from sys.user_objects
wher"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)
--"
O1205727,28-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,28-MAR-17,"SELECT /*+ INDEX(CUCDTM PK_CUCDTM) */
NVL(count(*),0)
--"
O1205727,28-MAR-17,"select object_name nam, Decode(object_type, 'TABLE', 1, 'VIEW', 2, 3) typ
from"
O1205727,28-MAR-17,"begin sys.dbms_application_info.set_module('TOAD background query session', null"
O1205727,28-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,28-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,28-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,28-MAR-17,"SELECT  table_name, table_owner FROM  ALL_SYNONYMS WHERE owner = 'PUBLIC' AND sy"
O1205727,28-MAR-17,"Select username from sys.ALL_USERS order by username"
O1205727,28-MAR-17,"SELECT 1
FROM   SYS.OBJ$ O, SYS.USER$ U
WHERE  0=1"
O1205727,28-MAR-17,"select sys_context('USERENV','INSTANCE_NAME') as INSTANCE_NAME,
sys_conte"
O1205727,28-MAR-17,"BEGIN   :RetVal := DBMS_UTILITY.CURRENT_INSTANCE; END;"
O1205727,28-MAR-17,"BEGIN   IF DBMS_UTILITY.IS_CLUSTER_DATABASE THEN     :RetVal := 1;   ELSE     :R"
O1205727,28-MAR-17,"Select feature from toad.toad_restrictions where user_name=USER or user_name in"
O1205727,28-MAR-17,"BEGIN
if ((QU_VERSION.major_number >= '1') and (QU_VERSION.minor_number >="
O1205727,28-MAR-17,"Select 1 FROM ALL_OBJECTS WHERE object_type = 'PACKAGE' AND object_name = 'TOAD_"
O1205727,28-MAR-17,"Select object_name
from sys.ALL_OBJECTS
where owner = 'SYS'
and   object_type ="
O1205727,28-MAR-17,"begin sys.dbms_application_info.set_module('TOAD 9.6.1.1', null); end;"
O1205727,28-MAR-17,"select /*+ RULE */ TABLE_NAME from all_tab_privs where table_name like 'DBA_%' a"
